timestamp,fitted,lower_bound,upper_bound
2020-08,0.0,-844845.3910943875,844845.3910943875
2020-09,4223179.127390601,3390561.336272752,5055796.91850845
2020-10,4791054.368388023,3958436.643549994,5623672.093226052
2020-11,4846488.4153266195,4013870.6904885904,5679106.140164648
2020-12,5160431.589271098,4327813.86443307,5993049.314109127
2021-01,5875190.641266219,5042572.916428191,6707808.366104248
2021-02,5585862.96885407,4753245.244016041,6418480.693692098
2021-03,5432904.17009012,4600286.445252092,6265521.894928149
2021-04,5432716.013622501,4600098.288784472,6265333.73846053
2021-05,5222014.682561289,4389396.95772326,6054632.407399317
2021-06,5691625.037997871,4859007.313159842,6524242.762835899
2021-07,5957647.967717456,5125030.242879427,6790265.692555484
2021-08,10643422.223547706,9810804.49872246,11476039.948372953
2021-09,6214397.6145131355,5381782.196534929,7047013.032491342
2021-10,5961218.892083994,5128603.540386122,6793834.2437818665
2021-11,6207600.548078601,5374985.196380729,7040215.899776474
2021-12,7079362.652417738,6246747.300719866,7911978.00411561
2022-01,6625779.45743385,5793164.105735977,7458394.809131722
2022-02,6580567.500401952,5747952.14870408,7413182.852099825
2022-03,6478942.525163219,5646327.173465347,7311557.876861092
2022-04,6039139.301367737,5206523.949669865,6871754.65306561
2022-05,6708953.480679767,5876338.128981895,7541568.83237764
2022-06,7449933.441495925,6617318.089798053,8282548.793193798
2022-07,5812320.069017749,4979704.717319877,6644935.420715622
2022-08,6466256.352699851,5633641.001001978,7298871.704397723
2022-09,6824037.363363396,5991422.011665524,7656652.715061269
